data_path,subject,issueTime,sex,treatment,strain,time_group,split,group_id,link_name,whitened_path,file_ID
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_115000.WAV,18,112611,F,EtOH,Wistar,late,train,10,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject018.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box11/mic/20241028_115000_whitened.flac,20241028_115000_subject018
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_112109.WAV,24,112335,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112109_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_112109_whitened.flac,20241028_112109_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_112500.WAV,24,112335,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_112500_whitened.flac,20241028_112500_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_113000.WAV,24,112335,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_113000_whitened.flac,20241028_113000_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_113500.WAV,24,112335,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_113500_whitened.flac,20241028_113500_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_114000.WAV,24,112335,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114000_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_114000_whitened.flac,20241028_114000_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_114500.WAV,24,112335,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_114500_whitened.flac,20241028_114500_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_115000.WAV,24,112335,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject024.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box03/mic/20241028_115000_whitened.flac,20241028_115000_subject024
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_112109.WAV,28,112631,F,EtOH,Wistar,,,0,,,20241028_112109_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_112500.WAV,28,112631,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_112500_whitened.flac,20241028_112500_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_113000.WAV,28,112631,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_113000_whitened.flac,20241028_113000_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_113500.WAV,28,112631,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_113500_whitened.flac,20241028_113500_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_114000.WAV,28,112631,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114000_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_114000_whitened.flac,20241028_114000_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_114500.WAV,28,112631,F,EtOH,Wistar,late,train,10,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_114500_whitened.flac,20241028_114500_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_115000.WAV,28,112631,F,EtOH,Wistar,late,train,10,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject028.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box12/mic/20241028_115000_whitened.flac,20241028_115000_subject028
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_112109.WAV,29,112338,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112109_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_112109_whitened.flac,20241028_112109_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_112500.WAV,29,112338,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_112500_whitened.flac,20241028_112500_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113000.WAV,29,112338,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113000_whitened.flac,20241028_113000_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113500.WAV,29,112338,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_113500_whitened.flac,20241028_113500_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114000.WAV,29,112338,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114000_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114000_whitened.flac,20241028_114000_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114500.WAV,29,112338,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_114500_whitened.flac,20241028_114500_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_115000.WAV,29,112338,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject029.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box04/mic/20241028_115000_whitened.flac,20241028_115000_subject029
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112110.WAV,34,112432,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112110_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112110_whitened.flac,20241028_112110_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112500.WAV,34,112432,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_112500_whitened.flac,20241028_112500_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113000.WAV,34,112432,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113000_whitened.flac,20241028_113000_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113500.WAV,34,112432,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_113500_whitened.flac,20241028_113500_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114000.WAV,34,112432,M,EtOH,Wistar,middle,train,24,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114000_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114000_whitened.flac,20241028_114000_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114500.WAV,34,112432,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_114500_whitened.flac,20241028_114500_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_115000.WAV,34,112432,M,EtOH,Wistar,late,train,22,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject034.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/box05/mic/20241028_115000_whitened.flac,20241028_115000_subject034
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_112109.WAV,35,112653,F,EtOH,Wistar,,,0,,,20241028_112109_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_112500.WAV,35,112653,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112500_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_112500_whitened.flac,20241028_112500_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113000.WAV,35,112653,F,EtOH,Wistar,early,train,8,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113000_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113000_whitened.flac,20241028_113000_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113500.WAV,35,112653,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_113500_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_113500_whitened.flac,20241028_113500_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114000.WAV,35,112653,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114000_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114000_whitened.flac,20241028_114000_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114500.WAV,35,112653,F,EtOH,Wistar,middle,train,12,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_114500_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_114500_whitened.flac,20241028_114500_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_115000.WAV,35,112653,F,EtOH,Wistar,late,train,10,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_115000_subject035.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box13/mic/20241028_115000_whitened.flac,20241028_115000_subject035
/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_112109.WAV,49,112450,M,EtOH,Wistar,early,train,20,/media/lapishla/usv/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyDD/audio/train/20241028_112109_subject049.WAV,/datastar/behavior_rooms/DD/2024-10-28_11-21-13_Wistar_Urgency_group1/pi-data_2024-10-28_11-21-13_Wistar_Urgency_group1/Box06/mic/20241028_112109_whitened.flac,20241028_112109_subject049
